label,value
appendix_table_2_90_70_prefer_nuclear_use_press_et_al_2013__estimate,0.2971061738301826
appendix_table_2_90_70_prefer_nuclear_use_press_et_al_2013__se,0.05453305631302247
appendix_table_2_90_70_prefer_nuclear_use_psv_diff_estimate,-0.20240389788782565
appendix_table_2_90_70_prefer_nuclear_use_psv_diff_se,0.05929551136913758
appendix_table_2_90_70_prefer_nuclear_use_psv_ratio,0.31874893315574815
appendix_table_2_90_70_prefer_nuclear_use_ycls_summary_estimate,0.09470227594235697
appendix_table_2_90_70_prefer_nuclear_use_ycls_summary_se,0.02328311486223962
appendix_table_3_approve_strike_abp_diff_estimate,0.05511398216172087
appendix_table_3_approve_strike_abp_diff_se,0.04174642917392589
appendix_table_3_approve_strike_abp_ratio,0.5292537331237885
appendix_table_3_approve_strike_aronow_et_al_2019__estimate,-0.11707789533297301
appendix_table_3_approve_strike_aronow_et_al_2019__se,0.029466895268311474
appendix_table_3_approve_strike_press_et_al_2013__estimate,-0.06516976998904729
appendix_table_3_approve_strike_press_et_al_2013__se,0.05062962187886071
appendix_table_3_approve_strike_psv_diff_estimate,0.003205856817795151
appendix_table_3_approve_strike_psv_diff_se,0.05863296891354202
appendix_table_3_approve_strike_psv_ratio,0.9508076088294628
appendix_table_3_approve_strike_ycls_summary_estimate,-0.06196391317125214
appendix_table_3_approve_strike_ycls_summary_se,0.02957137859518852
appendix_table_3_ethical_strike_abp_diff_estimate,0.09007811739231028
appendix_table_3_ethical_strike_abp_diff_se,0.04329359564539127
appendix_table_3_ethical_strike_abp_ratio,0.2838914097331262
appendix_table_3_ethical_strike_aronow_et_al_2019__estimate,-0.1257883491646716
appendix_table_3_ethical_strike_aronow_et_al_2019__se,0.029670887605189974
appendix_table_3_ethical_strike_press_et_al_2013__estimate,-0.05601627288374272
appendix_table_3_ethical_strike_press_et_al_2013__se,0.0552034230650955
appendix_table_3_ethical_strike_psv_diff_estimate,0.020306041111381387
appendix_table_3_ethical_strike_psv_diff_se,0.06357194169388523
appendix_table_3_ethical_strike_psv_ratio,0.6374974616121828
appendix_table_3_ethical_strike_ycls_summary_estimate,-0.03571023177236133
appendix_table_3_ethical_strike_ycls_summary_se,0.03152735086598343
benchmark_disease_covid_estimate,0.1468214632680544
benchmark_disease_covid_se,0.018576125385109984
benchmark_disease_pre_estimate,0.28854261032505346
benchmark_disease_pre_se,0.013747306372332707
benchmark_druckman_covid_estimate,0.09427796935765236
benchmark_druckman_covid_se,0.014801866365904404
benchmark_druckman_pre_estimate,0.2535514961079877
benchmark_druckman_pre_se,0.042556014884444666
benchmark_framing_covid_estimate,0.11109001849182035
benchmark_framing_covid_se,0.030780554654902082
benchmark_framing_pre_estimate,0.174166697528828
benchmark_framing_pre_se,0.014945370914785433
benchmark_knobe_pre_estimate,0.6404899506277121
benchmark_knobe_pre_se,0.011725358893552794
benchmark_russians_pre_estimate,0.3049541094444715
benchmark_russians_pre_se,0.02028592544450741
benchmark_welfare_1986_estimate,0.7020664572126808
benchmark_welfare_1986_se,0.03557513442920204
benchmark_welfare_capi_estimate,0.994273705280255
benchmark_welfare_capi_se,0.01240730192197381
benchmark_welfare_cawi_estimate,0.43748128093734684
benchmark_welfare_cawi_se,0.01710199317817524
benchmark_welfare_experimental_estimate,0.43447116711389283
benchmark_welfare_experimental_se,0.01812812837887351
benchmark_welfare_huber_estimate,0.4618345713790354
benchmark_welfare_huber_se,0.05156325597004613
benchmark_welfare_observational_estimate,0.3621593769369618
benchmark_welfare_observational_se,0.029823847018363086
benchmark_welfare_papi_estimate,1.0475506854221706
benchmark_welfare_papi_se,0.01317493342067975
conjoint_correctly_signed,41
conjoint_larger,6
conjoint_sig_among_larger,1
conjoint_sig_among_smaller,11
conjoint_sig_fdr,7
conjoint_sig_unadjusted,12
conjoint_smaller,35
correspondence_conjoint,0.874051915189156
correspondence_inflated,1.0425208699521824
correspondence_nonconjoint,0.4832737941695379
correspondence_overall,0.7297646089665277
figure_5_attentive_internet_browser_estimate,0.32926531360152156
figure_5_attentive_internet_browser_se,0.0976306008500555
figure_5_attentive_non_mobile_device_estimate,0.5200367752279467
figure_5_attentive_non_mobile_device_se,0.12133668563369916
figure_5_attentive_passed_acq_estimate,0.385328897491882
figure_5_attentive_passed_acq_se,0.15194970803027055
figure_5_full_sample_estimate,0.1567766943287688
figure_5_full_sample_se,0.07610016288029585
figure_5_inattentive_failed_acq_estimate,0.08366429495651713
figure_5_inattentive_failed_acq_se,0.0875748095721057
figure_5_inattentive_mobile_device_estimate,-0.04238507557113483
figure_5_inattentive_mobile_device_se,0.09607755433961199
figure_5_inattentive_web_application_estimate,-0.030590849329909128
figure_5_inattentive_web_application_se,0.11725456578995798
figure_5_mturk_sample_jun_2014_estimate,0.6957080780619925
figure_5_mturk_sample_jun_2014_se,0.10589617614098827
figure_5_mturk_sample_mar_2017_estimate,0.7252859715108254
figure_5_mturk_sample_mar_2017_se,0.05647974932409996
figure_5_qualtrics_sample_sep_2014_estimate,0.42199124514509273
figure_5_qualtrics_sample_sep_2014_se,0.07238432688301198
nonconjoint_correctly_signed,24
nonconjoint_incorrectly_signed,4
nonconjoint_sig_among_incorrectly_signed,3
nonconjoint_sig_fdr,13
nonconjoint_sig_smaller_correctly_signed,11
nonconjoint_sig_unadjusted,14
pairs_conjoint,41
pairs_correctly_signed,65
pairs_nonconjoint,28
pairs_total,69
summary_1_2_years_pre_estimate,0.06338857136177631
summary_1_2_years_pre_se,0.013804820277928813
summary_1_2_years_ycls_estimate,0.03701268699234894
summary_1_2_years_ycls_se,0.013732433707866303
summary_3_5_years_pre_estimate,0.09944196441669949
summary_3_5_years_pre_se,0.013984383700575486
summary_3_5_years_ycls_estimate,0.04234682867564837
summary_3_5_years_ycls_se,0.013355652148896736
summary_4th_grade_pre_estimate,0.048912877515247186
summary_4th_grade_pre_se,0.01871917079111799
summary_4th_grade_ycls_estimate,0.034712799290666556
summary_4th_grade_ycls_se,0.018735728229928764
summary_5_years_pre_estimate,0.12347265359593922
summary_5_years_pre_se,0.01361541585990096
summary_5_years_ycls_estimate,0.05476427803829348
summary_5_years_ycls_se,0.013474403585519209
summary_8th_grade_pre_estimate,0.05794474303688871
