quantity,value
respondents,16625
surveys,13
field_period_year_first,2020
field_period_year_last,2020
field_period_month_first,3
field_period_month_last,7
webapp_share_min,0.1879858657243816
webapp_share_max,0.6069321533923304
mobile_share_min,0.31236749116607776
mobile_share_max,0.7286135693215339
mobile_share_among_webapp,0.9706196581196581
webapp_share_among_mobile,0.7451302029936436
duration_median_minutes,12.883333333333333
duration_mean_browser,20.999177337565214
duration_mean_webapp,13.835897435897436
duration_mean_nonmobile,21.50905011400572
duration_mean_mobile,15.140865286036501
respondents_outside_replication_surveys,63245
acq_pass_rate_peyton_original,0.8663101604278075
acq_pass_rate_week_9,0.18609550561797744
correlation_nonmobile_browser,0.671157880635778
correlation_nonmobile_acq,0.09721605751660335
correlation_browser_acq,0.08837387614240307
surveys_with_acq,2
