quantity,value
total_pairs,69
conjoint_pairs,41
nonconjoint_pairs,28
correctly_signed_total,65
avg_pct_precovid_overall,0.73
avg_pct_precovid_conjoint,0.874
avg_pct_precovid_nonconjoint,0.483
inflated_aronow_overall,1.043
nonconjoint_correctly_signed,24
nonconjoint_sig_smaller_correctly_signed,11
nonconjoint_sig_among_incorrectly_signed,3
nonconjoint_sig_unadjusted,14
nonconjoint_sig_fdr,13
conjoint_smaller,35
conjoint_larger,6
conjoint_sig_among_smaller,11
conjoint_sig_among_larger,1
conjoint_sig_unadjusted,12
conjoint_sig_fdr,7
