appendix_table,x_pid3,AD_Z_party_sure_thing,row,column,estimate,std.error,p.value
Table 1,Democrats,Democrats' Program,Democrats' Program | Democrats,Difference,-0.10522797693919086,0.11530201216392265,0.361437619798868
Table 1,Democrats,Democrats' Program,Democrats' Program | Democrats,Druckman (2001),0.2104072398190047,0.11019230788956197,0.056203437228558695
Table 1,Democrats,Democrats' Program,Democrats' Program | Democrats,YCLS summary,0.10517926287981383,0.03394420850485905,0.0019444239662165241
Table 1,Republicans,Democrats' Program,Democrats' Program | Republicans,Difference,0.023128761695881107,0.13901723144418718,0.8678631498379692
Table 1,Republicans,Democrats' Program,Democrats' Program | Republicans,Druckman (2001),0.03529411764705894,0.133836995659463,0.7920035993833126
Table 1,Republicans,Democrats' Program,Democrats' Program | Republicans,YCLS summary,0.05842287934294005,0.037595867209782294,0.12019138512174954
Table 1,Democrats,Program A,Program A | Democrats,Difference,-0.314111889968804,0.12122508800701381,0.00956569268598817
Table 1,Democrats,Program A,Program A | Democrats,Druckman (2001),0.46470588235294125,0.11266688807882985,3.7137909991713514e-5
Table 1,Democrats,Program A,Program A | Democrats,YCLS summary,0.15059399238413726,0.04474029831081451,7.627815243953506e-4
Table 1,Republicans,Program A,Program A | Republicans,Difference,-0.21659414291893228,0.15234145049669695,0.15509371977417685
Table 1,Republicans,Program A,Program A | Republicans,Druckman (2001),0.4119047619047618,0.14506543004832964,0.004519262017940839
Table 1,Republicans,Program A,Program A | Republicans,YCLS summary,0.1953106189858295,0.04651815284736427,2.685829311488419e-5
Table 1,Democrats,Republicans' Program,Republicans' Program | Democrats,Difference,-0.09410509431131228,0.10370044390484802,0.36415803945527214
Table 1,Democrats,Republicans' Program,Republicans' Program | Democrats,Druckman (2001),0.1455301455301455,0.09684923653117468,0.13293028094204606
Table 1,Democrats,Republicans' Program,Republicans' Program | Democrats,YCLS summary,0.05142505121883323,0.03706760646968065,0.165340758517162
Table 1,Republicans,Republicans' Program,Republicans' Program | Republicans,Difference,0.03928343792258353,0.14405341340001662,0.7850834499927171
Table 1,Republicans,Republicans' Program,Republicans' Program | Republicans,Druckman (2001),0.055944055944056006,0.13978552788371212,0.6889992690873377
Table 1,Republicans,Republicans' Program,Republicans' Program | Republicans,YCLS summary,0.09522749386663953,0.034805058633308336,0.00621863919572796
Table 2,NA,NA,90/45 | Approve Nuclear Use,Aronow et al. (2019),0.2704792517382193,0.02934968387640169,0
Table 2,NA,NA,90/45 | Approve Nuclear Use,Press et al. (2013),0.2751828261382409,0.05230914852330297,1.43506692307227e-7
Table 2,NA,NA,90/45 | Approve Nuclear Use,YCLS summary,-0.04515150496550223,0.0324011424823095,0.16346386141495062
Table 2,NA,NA,90/45 | Approve Nuclear Use,abp_diff,-0.31563075670372154,0.043717707828792154,5.209166431541234e-13
Table 2,NA,NA,90/45 | Approve Nuclear Use,psv_diff,-0.32033433110374315,0.06153113889236807,1.9290023245410737e-7
Table 2,NA,NA,90/45 | Prefer Nuclear Use,Aronow et al. (2019),0.5148886712283406,0.02528185493979006,0
Table 2,NA,NA,90/45 | Prefer Nuclear Use,Press et al. (2013),0.47558386411889686,0.04869390764367955,0
Table 2,NA,NA,90/45 | Prefer Nuclear Use,YCLS summary,0.12662554452847233,0.025985528147658633,1.0995765804544533e-6
Table 2,NA,NA,90/45 | Prefer Nuclear Use,abp_diff,-0.3882631266998683,0.036254928800224476,0
Table 2,NA,NA,90/45 | Prefer Nuclear Use,psv_diff,-0.34895831959042456,0.05519369814321153,2.57480925469622e-10
Table 2,NA,NA,90/70 | Approve Nuclear Use,Aronow et al. (2019),0.17336813907719253,0.02989653711401837,6.673654517896921e-9
Table 2,NA,NA,90/70 | Approve Nuclear Use,Press et al. (2013),0.0513566377451229,0.05979215163001947,0.3903849970154063
Table 2,NA,NA,90/70 | Approve Nuclear Use,YCLS summary,-0.038624007289390735,0.032167172806982204,0.2298569435248723
Table 2,NA,NA,90/70 | Approve Nuclear Use,abp_diff,-0.21199214636658326,0.043915030886976875,1.3837888035439505e-6
Table 2,NA,NA,90/70 | Approve Nuclear Use,psv_diff,-0.08998064503451364,0.06789571711780866,0.1850792323671706
Table 2,NA,NA,90/70 | Prefer Nuclear Use,Aronow et al. (2019),0.36762655805816663,0.02597173772111781,0
Table 2,NA,NA,90/70 | Prefer Nuclear Use,Press et al. (2013),0.2971061738301826,0.05453305631302247,5.088644439155132e-8
Table 2,NA,NA,90/70 | Prefer Nuclear Use,YCLS summary,0.07874830168300552,0.024663776648911753,0.0014086498124803448
Table 2,NA,NA,90/70 | Prefer Nuclear Use,abp_diff,-0.2888782563751611,0.03581665867779878,6.661338147750939e-16
Table 2,NA,NA,90/70 | Prefer Nuclear Use,psv_diff,-0.2183578721471771,0.05985111619198664,2.639290262178573e-4
Table 3,NA,NA,Approve Strike,Aronow et al. (2019),-0.11707789533297301,0.029466895268311474,7.09131838456667e-5
Table 3,NA,NA,Approve Strike,Press et al. (2013),-0.06516976998904729,0.05062962187886071,0.19802926256099473
Table 3,NA,NA,Approve Strike,YCLS summary,-0.06196391317125214,0.02957137859518852,0.036135309979863584
Table 3,NA,NA,Approve Strike,abp_diff,0.05511398216172087,0.04174642917392589,0.18676548260790282
Table 3,NA,NA,Approve Strike,psv_diff,0.003205856817795151,0.05863296891354202,0.956396038186351
Table 3,NA,NA,Ethical Strike,Aronow et al. (2019),-0.1257883491646716,0.029670887605189974,2.2406457046431072e-5
Table 3,NA,NA,Ethical Strike,Press et al. (2013),-0.05601627288374272,0.0552034230650955,0.31023711139918175
Table 3,NA,NA,Ethical Strike,YCLS summary,-0.03571023177236133,0.03152735086598343,0.2573508981531638
Table 3,NA,NA,Ethical Strike,abp_diff,0.09007811739231028,0.04329359564539127,0.03746743985691903
Table 3,NA,NA,Ethical Strike,psv_diff,0.020306041111381387,0.06357194169388523,0.749409340841027
