name,time,est,std.error,size_group,pre_covid
Respondents from web applications,2020-04-13,0.38,0.014654949602703995,"1,000-2,000",No
Respondents from web applications,2020-04-20,0.18,0.010213273425479426,"1,000-2,000",No
Respondents from web applications,2020-04-27,0.36,0.013719886811400706,"1,000-2,000",No
Respondents from web applications,2020-05-01,0.49,0.010444089467320585,"2,000-3,000",No
Respondents from web applications,2020-05-04,0.39,0.013702787208051495,"1,000-2,000",No
Respondents from web applications,2020-05-12,0.51,0.014230676568300333,"1,000-2,000",No
Respondents from web applications,2020-05-18,0.61,0.0132454700889061,"1,000-2,000",No
Respondents from web applications,2020-05-25,0.51,0.013247323240327001,"1,000-2,000",No
Respondents from web applications,2020-06-01,0.42,0.012456293014729133,"1,000-2,000",No
Respondents from web applications,2020-06-01,0.4,0.013201967239688991,"1,000-2,000",No
Respondents from web applications,2020-06-08,0.44,0.01394543431096884,"1,000-2,000",No
Respondents from web applications,2020-06-15,0.57,0.014008461357039658,"1,000-2,000",No
Respondents from web applications,2020-07-13,0.48,0.013840445917960215,"1,000-2,000",No
