study_group_detail,study,estimate,std.error,study_group,conf.low,conf.high,statistic,p.value
Sex trafficking,Pre-COVID summary,0.5312126809108219,0.07136802161169076,Porter et al. (2018),0.391331358551908,0.6710940032697357,7.4432871882188225,9.814371537686384e-14
Sex trafficking,YCLS summary,0.042469977034189955,0.10861595639657787,Porter et al. (2018),-0.17041729750310267,0.2553572515714826,0.39101047804729405,0.6957894908506399
Obama Birtherism,Pre-COVID summary,0.24433206689918485,0.06939492777763671,Porter et al. (2018),0.1083180084550169,0.38034612534335277,3.520892300401292,4.30097265748719e-4
Obama Birtherism,YCLS summary,0.14040360992347609,0.11073379519276916,Porter et al. (2018),-0.07663462865435147,0.35744184850130367,1.267938208737962,0.204820017884217
Economic System Justification,Pre-COVID summary,0.1943300973321597,0.09235785314255614,Trump & White (2018),0.01330870517274968,0.3753514894915697,2.104099334489807,0.03536978290162529
Economic System Justification,YCLS summary,0.05741505064718685,0.07515025966323334,Trump & White (2018),-0.08987945829275049,0.2047095595871242,0.7640033568011303,0.44486524219754586
Institutional Trust,Pre-COVID summary,0.14731499381617535,0.1120248303748187,Trump & White (2018),-0.07225367371846927,0.36688366135081996,1.315020904948313,0.1885028768222723
Institutional Trust,YCLS summary,0.07668513648557432,0.07462418989647156,Trump & White (2018),-0.06957827571150993,0.22294854868265856,1.0276176745363932,0.30412970686800156
System Justification,Pre-COVID summary,0.19848612120613865,0.10620054197383487,Trump & White (2018),-0.009666941062577677,0.40663918347485495,1.8689746541504526,0.0616263407423856
System Justification,YCLS summary,0.07323374026348352,0.07468008980240722,Trump & White (2018),-0.07313923574923463,0.21960671627620165,0.9806327289810373,0.3267738884542495
Inequality increased,Pre-COVID summary,0.5539690409659892,0.06073695882551479,Trump & White (2018),0.4349246016679802,0.6730134802639982,9.120789905820477,0
Inequality increased,YCLS summary,0.4598373950178812,0.07527059367180251,Trump & White (2018),0.31230703142114824,0.6073677586146141,6.1091240627499275,1.0017944251927702e-9
Rich's share of income changed,Pre-COVID summary,0.36493824655810947,0.061710162952530276,Trump & White (2018),0.24398632717115012,0.48589016594506884,5.913746279341919,3.344128973736815e-9
Rich's share of income changed,YCLS summary,0.34113007410771884,0.08028572020573152,Trump & White (2018),0.18377006250448508,0.4984900857109526,4.248950787681492,2.147740908253759e-5
Redistribution,Pre-COVID summary,7.550697845806826e-5,0.037983748895818056,Peyton (2020),-0.07437264085734532,0.07452365481426146,0.0019878758851626004,0.9984139055670516
Redistribution,YCLS summary,-0.04358679069385813,0.078778081537782485,Peyton (2020),-0.1979918305079118,0.11081824912019556,-0.5532857597319581,0.580067750554895
Trust in Government,Pre-COVID summary,0.6233107909980574,0.041047228959577624,Peyton (2020),0.5428582222372853,0.7037633597588295,15.185209983647853,0
Trust in Government,YCLS summary,0.1567766943287688,0.07610016288029585,Peyton (2020),0.007620375083388947,0.3059330135741487,2.060136120541235,0.039385529635093786
Male,Pre-COVID summary,0.022019839510634503,0.010344324379536512,Hainmueller & Hopkins (2015),0.0017449637267429388,0.04229471529452607,2.1286880324629887,0.03328007962723989
Male,YCLS summary,0.019338685293544895,0.009775258515454048,Hainmueller & Hopkins (2015),1.7917860325496193e-4,0.03849819198383483,1.9783298071321276,0.04789151261991442
4th grade,Pre-COVID summary,0.048912877515247186,0.01871917079111799,Hainmueller & Hopkins (2015),0.012223302764655927,0.08560245226583844,2.612983131627589,0.008975573210820098
4th grade,YCLS summary,0.034712799290666556,0.018735728229928764,Hainmueller & Hopkins (2015),-0.0020092280399938225,0.07143482662132694,1.8527595439399978,0.06391683123708103
8th grade,Pre-COVID summary,0.05794474303688871,0.018757203559736174,Hainmueller & Hopkins (2015),0.021180624059805808,0.0947088620139716,3.0891994562170075,0.0020069665081523524
8th grade,YCLS summary,0.037241373820819816,0.019255170972183343,Hainmueller & Hopkins (2015),-4.987612846595324e-4,0.07498150892629916,1.9340972809132642,0.05310116818769317
High school,Pre-COVID summary,0.11594816756108896,0.018395152809597165,Hainmueller & Hopkins (2015),0.07989366805427851,0.1520026670678994,6.303191322259426,2.9157853909111964e-10
High school,YCLS summary,0.05961721505108673,0.01901674200452271,Hainmueller & Hopkins (2015),0.022344400722222227,0.09689002937995124,3.134985742400465,0.0017186246420284323
Two-year college,Pre-COVID summary,0.14947154535215668,0.01905969252788601,Hainmueller & Hopkins (2015),0.11211454799750009,0.18682854270681326,7.842285237994613,4.440892098500626e-15
Two-year college,YCLS summary,0.1057335019377555,0.018057254132095836,Hainmueller & Hopkins (2015),0.07034128383884766,0.14112572003666335,5.8554584857849274,4.756958382756693e-9
College degree,Pre-COVID summary,0.1866503663954584,0.020057365605426297,Hainmueller & Hopkins (2015),0.14733792980882288,0.22596280298209392,9.30582660092521,0
College degree,YCLS summary,0.12444334051902811,0.01833974715496898,Hainmueller & Hopkins (2015),0.08849743609528891,0.1603892449427673,6.785444721101914,1.1572964808692632e-11
Graduate degree,Pre-COVID summary,0.1717376017283907,0.018846793461657314,Hainmueller & Hopkins (2015),0.13479788654354236,0.20867731691323904,9.11229817834958,0
Graduate degree,YCLS summary,0.1355851633492425,0.018537106086969252,Hainmueller & Hopkins (2015),0.09925243541878277,0.17191789127970225,7.314257290923783,2.589040093425865e-13
