file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
abp_replication.rds,4641486,,373029,b712af83d6a97fd98ce333dba80d469d,b712af83d6a97fd98ce333dba80d469d,,abp_replication.rds
appendix_section_a.R,4641496,,91615,b826280338d357bc006a61c359acaf01,b826280338d357bc006a61c359acaf01,,appendix_section_a.R
appendix_section_b.R,4641483,,18286,e947023f15ab15086b97642f4c89e344,e947023f15ab15086b97642f4c89e344,,appendix_section_b.R
cm_asian_disease.rds,4641497,,84130,bb32766ee8b1a32f8518c31b7c4fd871,bb32766ee8b1a32f8518c31b7c4fd871,,cm_asian_disease.rds
conjoint_original.dta,4641495,,2845890,2848ba036c769c5a5816b6d13608b0dd,2848ba036c769c5a5816b6d13608b0dd,UNF:6:dLHLviLXUmOsYTPgd1LQ0A==,conjoint_original.tab
druckman_original.csv,4641489,,10938,c1bbd0523292633a6719b098360fc8ea,c1bbd0523292633a6719b098360fc8ea,UNF:6:iwReTQYjW1MlCO9O3soHNg==,druckman_original.tab
gilens_original.rds,4641481,,42981,ceef7adf5f03dd172ebfacd869a0d7a5,ceef7adf5f03dd172ebfacd869a0d7a5,,gilens_original.rds
gss_welfare.rds,4641482,,2063771,209f5da53ae8e81265c9e6085b48f080,209f5da53ae8e81265c9e6085b48f080,,gss_welfare.rds
helpers.R,4641484,,6584,bd5226eb55edbbb8a0ccb941bb430810,bd5226eb55edbbb8a0ccb941bb430810,,helpers.R
hp_welfare.rds,4641485,,185728,e26ed82afe72663b8c65204b33575e2f,e26ed82afe72663b8c65204b33575e2f,,hp_welfare.rds
manuscript.R,6482425,,20799,061543d6984fe2cb69037f35b5e4e292,061543d6984fe2cb69037f35b5e4e292,,manuscript.R
manylabs_asian_disease.sav,4641487,,54640299,873e59693f97ccd4a307b30ddabcb395,873e59693f97ccd4a307b30ddabcb395,UNF:6:T5pIYx8DnLeGa7fVJWBpAQ==,manylabs_asian_disease.tab
peyton_original.csv,4641494,,1111393,f039db40cb7e5cd9fe7e17a81a672a27,f039db40cb7e5cd9fe7e17a81a672a27,UNF:6:SBdXHCchEaifno5NsU24Dw==,peyton_original.tab
phc_lucid_completes.rds,4641479,,6006,a74eca6584ed5c7462b0fd153aa975d6,a74eca6584ed5c7462b0fd153aa975d6,,phc_lucid_completes.rds
phc_meta_trends.rds,4641492,,8292,2218adac06d2fd7cfd96f144c03d4b74,2218adac06d2fd7cfd96f144c03d4b74,,phc_meta_trends.rds
phc_replications.rds,4641490,,35454684,436ed9fcf201a16b28422feea432ce02,436ed9fcf201a16b28422feea432ce02,,phc_replications.rds
psv_original.rds,4641493,,103932,71d997c25d3164a4ad5d6126b02020d5,71d997c25d3164a4ad5d6126b02020d5,,psv_original.rds
pwk_original.rds,4641498,,248473,ef970ede99fd4da9c96d4625323b4937,ef970ede99fd4da9c96d4625323b4937,,pwk_original.rds
ReadMe.R,6482424,,2129,bb3a4f48429e2f620cce401d9c1c79d7,bb3a4f48429e2f620cce401d9c1c79d7,,ReadMe.R
tw_original.rds,4641491,,151231,6d0aaa0589d3f69f9583a656c960627f,6d0aaa0589d3f69f9583a656c960627f,,tw_original.rds
